Time	Map	Map Status	Player Name	Player Team	Kills	Assists	Deaths	MVPs	Score	Current Equip. Value	Round Kills	Round HS Kills
1514409767	cs_office	live	Jyushi	T	9.0	1.0	4.0	1.0	19.0	7150.0	0.0	0.0
1514409861	cs_office	live	Jyushi	T	9.0	1.0	5.0	1.0	19.0	5000.0	0.0	0.0
1514410016	cs_office	live	Jyushi	T	10.0	1.0	5.0	1.0	21.0	4500.0	1.0	1.0
1514410071	cs_office	live	Jyushi	T	10.0	1.0	6.0	1.0	21.0	5100.0	0.0	0.0
1514410147	cs_office	live	Jyushi	T	10.0	1.0	7.0	1.0	21.0	7150.0	0.0	0.0
1514410220	cs_office	live	Jyushi	CT	10.0	1.0	8.0	1.0	21.0	850.0	0.0	0.0
1514410372	cs_office	live	Jyushi	CT	12.0	2.0	8.0	1.0	29.0	4800.0	2.0	0.0
1514410405	cs_office	live	Jyushi	CT	13.0	2.0	9.0	1.0	31.0	6100.0	1.0	0.0
1514410506	cs_office	live	Jyushi	CT	13.0	2.0	10.0	1.0	31.0	4700.0	0.0	0.0
1514410585	cs_office	live	Jyushi	CT	14.0	2.0	11.0	1.0	33.0	5200.0	1.0	1.0
1514410695	cs_office	live	Jyushi	CT	16.0	2.0	12.0	1.0	38.0	5700.0	2.0	1.0
1514410753	cs_office	live	Jyushi	CT	16.0	2.0	13.0	1.0	38.0	1150.0	0.0	0.0
1514410812	cs_office	live	Jyushi	CT	16.0	2.0	14.0	1.0	38.0	4650.0	0.0	0.0
1514410905	cs_office	live	Jyushi	CT	17.0	2.0	15.0	1.0	40.0	3200.0	1.0	0.0
1514410944	cs_office	live	Jyushi	CT	17.0	2.0	16.0	1.0	40.0	5600.0	0.0	0.0
1514411038	cs_office	live	Jyushi	CT	17.0	3.0	17.0	1.0	41.0	5100.0	0.0	0.0
1514411104	cs_office	live	Jyushi	CT	17.0	4.0	18.0	1.0	42.0	7750.0	0.0	0.0
1514411260	cs_office	live	Jyushi	CT	19.0	4.0	18.0	2.0	46.0	7500.0	2.0	0.0
1514411349	cs_office	live	Jyushi	CT	19.0	4.0	19.0	2.0	46.0	5900.0	0.0	0.0
1514411420	cs_office	gameover										
1514417205	de_cache	live	glock	T	3.0	0.0	0.0	1.0	6.0	850.0	3.0	3.0
1514417274	de_cache	live	glock	T	4.0	0.0	1.0	1.0	8.0	4400.0	1.0	0.0
1514417430	de_cache	live	glock	T	7.0	0.0	1.0	2.0	14.0	5000.0	3.0	1.0
1514417541	de_cache	live	glock	T	7.0	0.0	2.0	2.0	14.0	4200.0	0.0	0.0
1514417644	de_cache	live	glock	T	7.0	0.0	3.0	2.0	14.0	700.0	0.0	0.0
1514417750	de_cache	live	glock	T	7.0	0.0	4.0	2.0	14.0	5000.0	0.0	0.0
1514417868	de_cache	live	glock	T	9.0	0.0	4.0	3.0	21.0	6250.0	2.0	0.0
1514417984	de_cache	live	glock	T	9.0	0.0	4.0	4.0	25.0	7550.0	0.0	0.0
1514418100	de_cache	live	glock	T	9.0	0.0	5.0	4.0	27.0	4600.0	0.0	0.0
1514418207	de_cache	live	glock	T	9.0	0.0	6.0	4.0	27.0	3900.0	0.0	0.0
1514418260	de_cache	live	glock	T	9.0	0.0	7.0	4.0	27.0	200.0	0.0	0.0
1514418391	de_cache	live	glock	T	10.0	0.0	7.0	4.0	29.0	4600.0	1.0	0.0
1514418446	de_cache	live	glock	T	11.0	0.0	8.0	4.0	31.0	5200.0	1.0	0.0
1514418548	de_cache	live	glock	T	11.0	1.0	9.0	4.0	32.0	3900.0	0.0	0.0
1514418642	de_cache	live	glock	T	11.0	1.0	10.0	4.0	32.0	5100.0	0.0	0.0
1514418760	de_cache	live	glock	CT	12.0	1.0	11.0	4.0	34.0	850.0	1.0	0.0
1514418817	de_cache	live	glock	CT	12.0	1.0	12.0	4.0	34.0	1700.0	0.0	0.0
1514418883	de_cache	live	glock	CT	12.0	1.0	13.0	4.0	34.0	200.0	0.0	0.0
1514418981	de_cache	live	glock	CT	13.0	1.0	14.0	4.0	36.0	4600.0	1.0	1.0
1514419060	de_cache	live	glock	CT	15.0	1.0	15.0	4.0	40.0	3750.0	2.0	2.0
1514419138	de_cache	live	glock	CT	16.0	1.0	16.0	4.0	42.0	6250.0	1.0	0.0
1514419282	de_cache	live	glock	CT	17.0	1.0	17.0	4.0	44.0	500.0	1.0	1.0
1514419366	de_cache	live	glock	CT	17.0	1.0	18.0	4.0	44.0	4850.0	0.0	0.0
1514419459	de_cache	live	glock	CT	17.0	3.0	19.0	4.0	46.0	5300.0	0.0	0.0
1514419543	de_cache	live	glock	CT	18.0	4.0	20.0	4.0	49.0	200.0	1.0	0.0
1514419690	de_cache	live	glock	CT	19.0	4.0	20.0	4.0	51.0	4650.0	1.0	0.0
1514419824	de_cache	live	glock	CT	23.0	4.0	21.0	5.0	59.0	5100.0	4.0	3.0
1514419890	de_cache	live	glock	CT	24.0	4.0	22.0	5.0	61.0	6000.0	1.0	1.0
1514419949	de_cache	live	glock	CT	24.0	4.0	23.0	5.0	61.0	3150.0	0.0	0.0
1514419979	de_cache	gameover										
1514437304	de_cache	live	glock	CT	1.0	0.0	1.0	0.0	2.0	850.0	1.0	1.0
1514437363	de_cache	live	glock	CT	2.0	0.0	2.0	0.0	4.0	1800.0	1.0	1.0
1514437467	de_cache	live	glock	CT	3.0	0.0	3.0	0.0	6.0	200.0	1.0	1.0
1514437528	de_cache	live	glock	CT	3.0	0.0	4.0	0.0	6.0	5000.0	0.0	0.0
1514437632	de_cache	live	glock	CT	3.0	0.0	5.0	0.0	6.0	5800.0	0.0	0.0
1514437745	de_cache	live	glock	CT	5.0	0.0	5.0	1.0	10.0	5700.0	2.0	2.0
1514437828	de_cache	live	glock	CT	5.0	0.0	6.0	1.0	10.0	6000.0	0.0	0.0
1514437908	de_cache	live	glock	CT	5.0	1.0	7.0	1.0	11.0	6700.0	0.0	0.0
1514438098	de_cache	live	glock	CT	7.0	1.0	7.0	2.0	17.0	6350.0	2.0	1.0
1514438191	de_cache	live	glock	CT	8.0	3.0	7.0	2.0	21.0	6000.0	1.0	0.0
1514438266	de_cache	live	glock	CT	10.0	3.0	8.0	2.0	25.0	5400.0	2.0	0.0
1514438304	de_cache	live	glock	CT	10.0	3.0	9.0	2.0	25.0	200.0	0.0	0.0
1514438435	de_cache	live	glock	CT	13.0	3.0	10.0	2.0	31.0	3650.0	3.0	1.0
1514438542	de_cache	live	glock	CT	14.0	3.0	11.0	2.0	33.0	6000.0	1.0	1.0
1514438624	de_cache	live	glock	CT	14.0	3.0	12.0	2.0	33.0	4650.0	0.0	0.0
1514438707	de_cache	live	glock	T	14.0	3.0	13.0	2.0	33.0	900.0	0.0	0.0
1514438872	de_cache	live	glock	T	16.0	3.0	13.0	2.0	40.0	3200.0	2.0	0.0
1514438968	de_cache	live	glock	T	18.0	3.0	14.0	2.0	44.0	5000.0	2.0	1.0
1514439052	de_cache	live	glock	T	18.0	3.0	15.0	3.0	44.0	5000.0	0.0	0.0
1514439212	de_cache	live	glock	T	20.0	3.0	16.0	3.0	51.0	3400.0	2.0	1.0
1514439321	de_cache	live	glock	T	20.0	4.0	16.0	3.0	52.0	4800.0	0.0	0.0
1514439405	de_cache	live	glock	T	21.0	4.0	16.0	3.0	54.0	5000.0	1.0	1.0
1514439457	de_cache	live	glock	T	23.0	4.0	16.0	3.0	58.0	5000.0	2.0	1.0
1514439523	de_cache	live	glock	T	26.0	4.0	16.0	4.0	64.0	5100.0	3.0	1.0
1514439607	de_cache	gameover	glock	T	27.0	4.0	16.0	4.0	68.0	5100.0	1.0	1.0
1514500456	de_cache	live	boop	CT	0.0	0.0	0.0	0.0	0.0	200.0	0.0	0.0
1514500502	de_cache	live	boop	CT	4.0	0.0	0.0	1.0	8.0	850.0	4.0	3.0
1514500712	de_cache	live	boop	CT	8.0	0.0	0.0	2.0	18.0	4800.0	4.0	2.0
1514500764	de_cache	live	boop	CT	10.0	0.0	0.0	3.0	22.0	5700.0	2.0	1.0
