Time	Map	Map Status	Player Name	Player Team	Kills	Assists	Deaths	MVPs	Score	Current Equip. Value	Round Kills	Round HS Kills
1514765783	de_inferno	live	boop		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1514765818	de_inferno	live	boop	CT	0.0	0.0	1.0	0.0	0.0	850.0	0.0	0.0
1514765842	de_inferno	live	boop	CT	1.0	0.0	2.0	0.0	2.0	4700.0	1.0	0.0
1514765886	de_inferno	live	boop	T	1.0	1.0	3.0	0.0	5.0	4400.0	0.0	0.0
1514765931	de_inferno	live	boop	CT	2.0	1.0	4.0	0.0	7.0	4700.0	1.0	0.0
1514765987	de_inferno	live	boop	T	2.0	1.0	5.0	0.0	7.0	4500.0	0.0	0.0
1514766027	de_inferno	live	boop	T	5.0	1.0	5.0	1.0	14.0	6650.0	3.0	0.0
1514766067	de_inferno	live	boop	T	6.0	1.0	5.0	2.0	19.0	3900.0	1.0	0.0
1514766095	de_inferno	live	boop	CT	6.0	1.0	6.0	2.0	19.0	4700.0	0.0	0.0
1514766130	de_inferno	live	boop	CT	6.0	1.0	7.0	2.0	19.0	4700.0	0.0	0.0
1514766175	de_inferno	live	boop	T	8.0	1.0	8.0	2.0	23.0	6450.0	2.0	0.0
1514766203	de_inferno	live	boop	T	9.0	1.0	9.0	3.0	25.0	3900.0	1.0	1.0
1514766238	de_inferno	live	boop	T	10.0	1.0	10.0	3.0	30.0	6350.0	1.0	0.0
1514766292	de_inferno	live	boop	CT	11.0	1.0	10.0	4.0	34.0	7250.0	1.0	0.0
1514766321	de_inferno	live	boop	T	13.0	1.0	10.0	5.0	38.0	3900.0	2.0	0.0
1514766359	de_inferno	live	boop	T	15.0	1.0	10.0	5.0	43.0	5950.0	2.0	0.0
1514766379	de_inferno	live	boop	T	15.0	1.0	11.0	5.0	45.0	3900.0	0.0	0.0
1514766405	de_inferno	live	boop	T	15.0	2.0	11.0	5.0	46.0	3900.0	0.0	0.0
1514766421	de_inferno	live	boop	CT	15.0	2.0	12.0	5.0	46.0	5600.0	0.0	0.0
1514766470	de_inferno	live	boop	T	16.0	2.0	13.0	5.0	48.0	6450.0	1.0	1.0
1514766489	de_inferno	gameover										
1514766499	RESET POINT	gameover										
1514766515	de_inferno	live	boop		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
1514766557	de_inferno	live	boop	CT	0.0	1.0	0.0	0.0	2.0	5300.0	0.0	0.0
1514766583	de_inferno	live	boop	CT	1.0	1.0	1.0	0.0	4.0	4700.0	1.0	0.0
1514766619	de_inferno	live	boop	CT	1.0	1.0	2.0	0.0	4.0	4700.0	0.0	0.0
1514766667	de_inferno	live	boop	CT	1.0	1.0	3.0	0.0	4.0	4700.0	0.0	0.0
1514766703	de_inferno	live	boop	CT	1.0	1.0	4.0	0.0	4.0	4700.0	0.0	0.0
1514766756	de_inferno	live	boop	T	2.0	1.0	5.0	0.0	6.0	6450.0	1.0	0.0
1514766781	de_inferno	live	boop	CT	2.0	1.0	6.0	0.0	6.0	4700.0	0.0	0.0
1514766837	de_inferno	live	boop	CT	2.0	2.0	7.0	0.0	7.0	4700.0	0.0	0.0
1514766867	de_inferno	live	boop	CT	2.0	2.0	8.0	0.0	7.0	4700.0	0.0	0.0
1514766902	de_inferno	live	boop	T	2.0	2.0	9.0	0.0	7.0	4500.0	0.0	0.0
1514766960	de_inferno	live	boop	CT	3.0	2.0	10.0	0.0	9.0	6550.0	1.0	1.0
1514766990	de_inferno	live	boop	CT	4.0	3.0	11.0	0.0	12.0	6650.0	1.0	0.0
1514767041	de_inferno	live	boop	CT	5.0	3.0	11.0	0.0	15.0	4700.0	1.0	0.0
1514767076	de_inferno	live	boop	T	6.0	3.0	12.0	0.0	18.0	4600.0	1.0	0.0
1514767114	de_inferno	live	boop	CT	9.0	3.0	12.0	1.0	26.0	4600.0	3.0	1.0
1514767148	de_inferno	live	boop	T	10.0	3.0	13.0	1.0	29.0	3900.0	1.0	1.0
1514769010	de_mirage	live	boop	T	1.0	1.0	1.0	0.0	3.0	850.0	1.0	1.0
1514769127	de_mirage	live	boop	T	2.0	1.0	2.0	0.0	8.0	1600.0	1.0	0.0
1514769241	de_mirage	live	boop	T	2.0	1.0	3.0	0.0	8.0	6450.0	0.0	0.0
1514769278	de_mirage	live	boop	T	2.0	1.0	4.0	0.0	8.0	700.0	0.0	0.0
1514769461	de_mirage	live	boop	T	3.0	1.0	4.0	0.0	10.0	4600.0	1.0	1.0
1514769558	de_mirage	live	boop	T	3.0	1.0	5.0	0.0	10.0	5000.0	0.0	0.0
1514769636	de_mirage	live	boop	T	5.0	1.0	6.0	0.0	14.0	4400.0	2.0	1.0
1514769675	de_mirage	live	boop	T	5.0	1.0	7.0	0.0	14.0	700.0	0.0	0.0
1514769724	de_mirage	live	boop	T	5.0	2.0	8.0	0.0	15.0	4400.0	0.0	0.0
1514769959	de_mirage	live	boop	T	5.0	2.0	9.0	0.0	15.0	3100.0	0.0	0.0
1514770057	de_mirage	live	boop	T	5.0	2.0	10.0	0.0	15.0	1700.0	0.0	0.0
1514770116	de_mirage	live	boop	T	5.0	2.0	11.0	0.0	15.0	4450.0	0.0	0.0
1514770181	de_mirage	live	boop	T	5.0	2.0	12.0	0.0	15.0	4900.0	0.0	0.0
1514770311	de_mirage	live	boop	T	7.0	3.0	13.0	0.0	20.0	3200.0	2.0	1.0
1514770425	de_mirage	live	boop	T	7.0	3.0	14.0	1.0	20.0	4100.0	0.0	0.0
1514770564	de_mirage	live	boop	CT	10.0	3.0	14.0	1.0	27.0	850.0	3.0	2.0
1514770639	de_mirage	live	boop	CT	12.0	4.0	14.0	2.0	32.0	4700.0	2.0	0.0
1514770730	de_mirage	live	boop	CT	16.0	4.0	14.0	3.0	41.0	5900.0	4.0	0.0
1514770832	de_mirage	live	boop	CT	17.0	4.0	14.0	3.0	43.0	6200.0	1.0	1.0
1514770871	de_mirage	live	boop	CT	17.0	4.0	15.0	3.0	43.0	6200.0	0.0	0.0
1514770990	de_mirage	live	boop	CT	20.0	4.0	15.0	4.0	49.0	5700.0	3.0	1.0
1514771052	de_mirage	live	boop	CT	21.0	4.0	16.0	4.0	51.0	6200.0	1.0	1.0
1514771148	de_mirage	live	boop	CT	23.0	5.0	16.0	4.0	56.0	5700.0	2.0	0.0
1514771203	de_mirage	live	boop	CT	24.0	5.0	17.0	4.0	58.0	5600.0	1.0	0.0
1514771266	de_mirage	live	boop	CT	24.0	6.0	18.0	4.0	59.0	6000.0	0.0	0.0
1514771391	de_mirage	live	boop	CT	24.0	6.0	18.0	4.0	59.0	5350.0	0.0	0.0
